"","Variable","Observations","Mean","Stdev","Min","Q1","Median","Q3","Max"
"OUTP1M_RATIO","OUTP1M_RATIO",378,0.194112231526611,0.0808442522290082,0,0.135331933875623,0.183579853959932,0.243676926747793,0.457142857142857
"CHRONIC_RATIO","CHRONIC_RATIO",378,0.747723044765178,0.101761796654155,0.449612403100775,0.68229835673473,0.75,0.819761904761905,0.981481481481482
"AVGINDIINCOME_TOTAL","AVGINDIINCOME_TOTAL",378,18976.9281596132,13000.4181992006,2564.21081081081,9897.11751201917,16001.6339816241,24064.3362369337,98847.4576271186
"AVGEDU","AVGEDU",378,1.16702502832561,0.158170883755025,1,1.06521739130435,1.12159498207885,1.20310245310245,1.93617021276596
"AVGAGE","AVGAGE",378,60.4989463665104,2.29408459677678,53.9021739130435,58.8632996994418,60.5627794336811,61.8863752122242,69.6170212765958
"MALE_RATIO","MALE_RATIO",378,0.472414409897288,0.030903557479491,0.359375,0.45726392251816,0.476350271652285,0.491228070175439,0.6
"AVGBMI","AVGBMI",378,23.8017163632229,1.30503196006114,20.2469053374396,22.9731136032532,23.7224527669808,24.6856456884607,31.3641831534249
"AVGCHRONIC_NUM","AVGCHRONIC_NUM",378,1.72546551682639,0.511551470530156,0.721311475409836,1.3671052631579,1.646364057434,2.03383458646617,3.64814814814815
"AVGOUTP1M_TIMES","AVGOUTP1M_TIMES",378,0.436379743331305,0.259857119581969,0,0.243289502282112,0.393141945773525,0.598372469066367,2.07042253521127
"AVGOUTP1M_REALEXP","AVGOUTP1M_REALEXP",378,175.272959968898,218.720756365847,0,65.4441201000834,114.949589076555,200.527734238941,2046.03333333333
"AVGEXP1W_FOOD","AVGEXP1W_FOOD",378,334.02979267657,208.415768081775,75.1548913043478,229.313402061856,298.168310174809,389.58640536956,2480.06349206349
"AVGEXP1Y_TOTAL","AVGEXP1Y_TOTAL",378,34554.4456147109,17733.7455037551,11860.1637931034,23849.0391409738,30341.3407835956,40452.455510907,159191.090909091
"AVGTRANSCHILD_AMT","AVGTRANSCHILD_AMT",378,3805.23782520602,2922.44365325729,41.3934426229508,1749.97883695252,3348.5922953451,5201.29398810835,20720.6024096386
"AVGTRANSPAY_TOTAL","AVGTRANSPAY_TOTAL",378,4794.26390572028,3348.1165611708,57.2115384615385,2207.3768404908,4359.78385762812,6453.20895522388,21642.2891566265
